,Year,Month,CHL
196,2014,1,0.04540178
197,2014,2,0.026491404
198,2014,3,0.028037667
199,2014,4,-0.007453829
200,2014,5,-0.075796604
201,2014,6,0.07221991
202,2014,7,-0.06891388
203,2014,8,-0.06380081
204,2014,9,-0.09571692
205,2014,10,-0.11527467
206,2014,11,-0.13560978
207,2014,12,-0.059787124
208,2015,1,-0.05712682
209,2015,2,-0.06266385
210,2015,3,-0.116205126
211,2015,4,-0.067337126
212,2015,5,-0.075148374
213,2015,6,-0.12679207
214,2015,7,-0.19077504
215,2015,8,-0.20436537
216,2015,9,-0.17776415
217,2015,10,-0.18382294
218,2015,11,-0.11521816
219,2015,12,-0.067394525
220,2016,1,-0.062212795
221,2016,2,-0.12007785
222,2016,3,-0.06943756
223,2016,4,-0.118104875
224,2016,5,-0.09571126
225,2016,6,-0.12609729
226,2016,7,-0.062075227
227,2016,8,0.04826659
228,2016,9,-0.099930614
229,2016,10,-0.09010884
230,2016,11,-0.08710334
231,2016,12,-0.04817924
232,2017,1,-0.073565274
233,2017,2,-0.058575004
234,2017,3,-0.0121355355
235,2017,4,-0.043970883
236,2017,5,-0.022381753
237,2017,6,-0.08656037
238,2017,7,-0.08231172
239,2017,8,-0.12693635
240,2017,9,-0.13486874
241,2017,10,-0.05782652
242,2017,11,-0.0867514
243,2017,12,-0.12014164
244,2018,1,-0.035188645
245,2018,2,-0.049563885
246,2018,3,0.0074792802
247,2018,4,-0.12534207
248,2018,5,-0.12547606
249,2018,6,-0.11751798
250,2018,7,-0.066488504
251,2018,8,-0.08352971
252,2018,9,0.0033269227
253,2018,10,0.0018741786
254,2018,11,0.0016427636
255,2018,12,0.050640076
256,2019,1,-0.02747044
257,2019,2,0.019570708
258,2019,3,-0.04011491
259,2019,4,-0.13815555
260,2019,5,-0.15372112
261,2019,6,-0.064555466
262,2019,7,-0.18566114
263,2019,8,-0.16752452
264,2019,9,-0.13726777
